german;english;level;example;example_en
# Format: german;english;level;example;example_en   —  use | between alternative answers. Nouns WITH article.
die Nachhaltigkeit;sustainability;C1;Nachhaltigkeit ist zum Modewort geworden.;Sustainability has become a buzzword.
die Voraussetzung;prerequisite|precondition|requirement;C1;Gute Deutschkenntnisse sind Voraussetzung für die Stelle.;Good German skills are a prerequisite for the job.
die Auseinandersetzung;dispute|confrontation|argument|engagement;C1;Die Auseinandersetzung mit dem Thema lohnt sich.;Engaging with the topic is worthwhile.
die Herausforderung;challenge;B2;Das Projekt ist eine echte Herausforderung.;The project is a real challenge.
die Gewährleistung;guarantee|warranty;C1;Die Gewährleistung beträgt zwei Jahre.;The warranty lasts two years.
die Beeinträchtigung;impairment|interference|adverse effect;C2;Es kam zu erheblichen Beeinträchtigungen im Bahnverkehr.;There were considerable disruptions to rail services.
die Befugnis;authority|power|authorization;C2;Dazu fehlt ihm die Befugnis.;He doesn't have the authority to do that.
der Sachverhalt;facts|circumstances|state of affairs;C1;Der Sachverhalt ist noch nicht geklärt.;The facts of the case have not yet been established.
die Gepflogenheit;custom|convention|practice;C2;Er kennt die örtlichen Gepflogenheiten nicht.;He doesn't know the local customs.
die Wechselwirkung;interaction|interplay;C1;Die Wechselwirkung zwischen Medikamenten wird oft unterschätzt.;The interaction between medications is often underestimated.
das Anliegen;concern|request|matter;C1;Was ist Ihr Anliegen?;What is your concern? / How can I help you?
der Umstand;circumstance;C1;Unter diesen Umständen sagen wir ab.;Under these circumstances we are cancelling.
die Tragweite;scope|significance|implications|magnitude;C2;Die Tragweite dieser Entscheidung ist enorm.;The implications of this decision are enormous.
die Hingabe;devotion|dedication;C1;Sie pflegt ihre Mutter mit großer Hingabe.;She cares for her mother with great devotion.
die Geborgenheit;sense of security|security|safety;C2;Kinder brauchen Geborgenheit.;Children need a sense of security.
die Zuversicht;confidence|optimism;C1;Wir blicken mit Zuversicht in die Zukunft.;We look to the future with confidence.
der Leichtsinn;carelessness|recklessness;C1;Das war purer Leichtsinn.;That was pure recklessness.
die Nachsicht;leniency|forbearance|indulgence;C2;Ich bitte um Nachsicht für die Verspätung.;I ask for your forbearance regarding the delay.
die Anmaßung;presumption|arrogance;C2;Diese Behauptung ist eine Anmaßung.;This claim is presumptuous.
die Heuchelei;hypocrisy;C2;Seine Empörung ist reine Heuchelei.;His indignation is pure hypocrisy.
der Vorwand;pretext|excuse;C1;Unter einem Vorwand verließ er das Treffen.;He left the meeting on a pretext.
die Verlegenheit;embarrassment|predicament;C1;Sie brachte ihn in Verlegenheit.;She embarrassed him.
die Schadenfreude;schadenfreude|malicious joy|gloating;C1;Schadenfreude ist die schönste Freude, sagt man.;Schadenfreude is the best kind of joy, they say.
das Unterfangen;undertaking|venture;C2;Das ist ein riskantes Unterfangen.;That is a risky undertaking.
die Gratwanderung;balancing act|tightrope walk;C2;Satire ist immer eine Gratwanderung.;Satire is always a balancing act.
der Zwiespalt;conflict|dilemma|inner conflict;C2;Er befand sich in einem inneren Zwiespalt.;He was torn by an inner conflict.
die Beharrlichkeit;persistence|perseverance|tenacity;C2;Mit Beharrlichkeit erreichte sie ihr Ziel.;She reached her goal through perseverance.
die Gelassenheit;composure|calmness|serenity;C1;Er nahm die Kritik mit Gelassenheit hin.;He took the criticism calmly.
die Befangenheit;bias|partiality|self-consciousness;C2;Der Richter wurde wegen Befangenheit abgelehnt.;The judge was challenged on grounds of bias.
die Ohnmacht;powerlessness|helplessness|faint;C1;Ein Gefühl der Ohnmacht überkam sie.;A feeling of powerlessness came over her.
