german;english;level;example;example_en;rank
das Schwarz;black|sable|black in heraldry;B2;Wir verbinden die Farbe Schwarz oft mit Tod.;We often associate black with death.;1500
fern;remote|far away;B2;Er und ich sind aus einem fernen Land.;He and I are from a faraway country.;1501
ficken;to fuck;B2;Sie haben die ganze Nacht gefickt.;They fucked all night long.;1502
der Fick;fuck;B2;Das war ein guter Fick!;That was a good fuck!;1503
der Scherz;joke|frolic|bread end;B2;Ich bin gerade irgendwie nicht zu Scherzen aufgelegt.;I'm not really in the mood for jokes.;1504
scherzen;to joke|to jest|to frolic;B2;Er hat das nicht ernst gemeint. Er scherzte.;He didn't mean that seriously. He was joking.;1505
der Wichser;wanker|jerk|tosser|asshole|bastard|motherfucker;B2;Dein neuer Freund ist ein Scheißwichser.;Your new friend is a fucking wanker.;1506
langweilig;boring|dull|tedious|bored;B2;Tom ist der langweiligste Mensch, den ich kenne.;Tom is the most boring person I know.;1507
womit;with what|what…with|with which|by which;B2;Womit brauchst du Hilfe?;What do you need help with?;1508
kapieren;to understand intellectually|to get|to grasp;B2;Dieser Idiot kapiert rein gar nichts.;This idiot doesn’t understand a single thing.;1509
nachher;in a short while|afterwards|later;B2;Ich komme nachher, um Sie zu treffen.;I'll come and see you later.;1510
verlangen;to ask for|to demand;B2;Er verlangte einen Ersatz für das beschädigte Teil.;He demanded a replacement for the broken part.;1511
überzeugen;to convince|to convince oneself|to be convincing|to be impressive|to stand out|to win over;B2;Er hat mich von seinen Fähigkeiten überzeugt.;He convinced me of his abilities.;1512
überzeugt;convinced|staunch|committed;B2;Er war überzeugt von seiner eigenen Überlegenheit.;He was convinced of his own superiority.;1513
rot;red|red-haired;B2;Ich habe noch nie einen roten Kühlschrank gesehen.;I have never seen a red refrigerator.;1514
das Rot;red|gules;B2;Rot ist meine Lieblingsfarbe.;Red is my favourite colour.;1515
vorbereiten;to prepare|to get ready;B2;Verbringe nicht die ganze Nacht damit, dich vorzubereiten.;Don't spend the whole night preparing yourself.;1516
der Termin;date|deadline|delivery date|appointment|engagement;B2;Herr Müller ist aktuell in einem Termin.;Mr. Müller is currently busy with an appointment.;1517
der Gang;motion|movement|progress|way|going|gait;B2;Gang an die Börse;initial public offering;1518
die Rechte;right;B2;Die Rechte weiß nicht, was die Linke tut.;The left hand doesn't know what the right hand is doing.;1519
der Rechter;right-winger|rightist;B2;Haben Sie den Tatverdächtigen auf seine Rechte hingewiesen?;Did you advise the suspect of his rights?;1520
die Rache;revenge|vengeance;B2;Die Rache des Himmels ist langsam, aber sicher.;Heaven's vengeance is slow but sure.;1521
bemerken;to notice|to perceive|to remark|to mention|to note;B2;Hast du das Schild bemerkt, an dem wir gerade vorbeikamen?;Did you notice the sign we just passed?;1522
der Vertrag;contract|agreement|treaty;B2;Er musste den Vertrag gegen seinen Willen unterschreiben.;He was made to sign the contract against his will.;1523
vertragen;to tolerate|to bear|to could do with|to get along with|to go well with|to mix well;B2;Ich könnte jetzt ein kühles Bier vertragen.;I could do with a cold beer.;1524
zählen;to count|to reckon|to consider|to deem;B2;Ich habe gerade gezählt, dass wir nur noch zwölf Tomaten haben.;I have just counted and seen us to have only twelve tomatoes in total.;1525
dienen;to serve|to be a servant|to assist|to be of assistance;B2;Diese Kirche diente während der Invasion als Krankenhaus.;This church served as a hospital during the invasion.;1526
der Dienst;service|work|duty;B2;Ich war zu dieser Zeit nicht im Dienst.;I was off duty at the time.;1527
das Wesen;creature|being|essence|substance|character;B2;In der Tiefsee hat man seltsame Wesen entdeckt.;In the deep sea, strange creatures have been discovered.;1528
der Bürgermeister;mayor;B2;Die Bürger sprechen gut von dem neuen Bürgermeister.;The new mayor is well spoken of by the citizens.;1529
der Fluss;river|flow;B2;Es ist gefährlich in diesem Fluss zu baden.;It is dangerous to bathe in this river.;1530
woran;on what|at what;B2;Woran denkst du, wenn du dieses Bild betrachtest?;What do you imagine when you see that picture?;1531
das Durcheinander;mess|chaos|tumult|stew;B2;Warum ist hier so ein Durcheinander?;Why is there such a mess in here?;1532
durcheinander;disordered|confused;B2;Wegen des Gewitters geriet der Zugfahrplan durcheinander.;Trains were disrupted due to a thunderstorm.;1533
testen;to test;B2;Dr. Patterson, eine Psychologin, hat Kokos Intelligenzquotienten getestet.;Dr. Patterson, a psychologist, has tested Koko's IQ.;1534
dadurch;through it|through that|thus;B2;Dadurch stieg die Zahl der Badegäste kontinuierlich an.;As a result, the number of bathers increased steadily.;1535
der Direktor;principal|director;B2;Man bot ihm den Posten des Direktors an.;He was offered the position of headmaster.;1536
die Karriere;career;B2;Ihr großes Talent wurde schon am Anfang ihrer Karriere erkannt.;Her great talent was recognised right at the beginning of her career.;1537
der Akt;act|deed|nude|file;B2;Der Autor unterteilte die Tragödie in fünf Akte.;The author divided the tragedy into five acts.;1538
die Akte;file;B2;Ich kann die Akte „Tom Hansen“ nicht finden.;I can't find the file on Tom Jackson.;1539
die Erinnerung;memory|remembrance|reminder|something that reminds|memento;B2;Wenn mich meine Erinnerung nicht trügt...;If my memory doesn’t fail me...;1540
die Großmutter;grandmother|old woman|elderly woman|old lady;B2;Meine Großmutter ist in der Nacht friedlich heimgegangen.;My grandmother went peacefully in the night.;1541
lösen;to loose|to loosen|to detach|to remove|to separate|to cast off;B2;(etwas) von (etwas anderes) lösen;"""to remove (something) from (something else)""";1542
greifen;to grab|to grasp|to grip|to seize|to snatch|to reach;B2;Trotz des schlechten Wetters griffen die Reifen hervorragend;The tires did bite perfectly despite the bad weather.;1543
der Griff;grasp|reach|grip|handle|hold;B2;der Griff nach den Sternen;(the act of) reaching for the stars;1544
der Zweifel;doubt;B2;Ich zweifel an allem, selbst an meinen Zweifeln.;I doubt everything, even my own doubts.;1545
zweifeln;to doubt|to be doubtful;B2;Ich zweifle daran, dass Tom wirklich Arzt ist.;I doubt Tom is really a doctor.;1546
die Sprache;language|speech;B2;Ist Deutsch eine schwere Sprache zu erlernen?;Is German a difficult language to learn?;1547
nerven;to annoy|to irritate;B2;Er nervt mit seiner lauten Musik die Nachbarn.;He annoys the neighbours with his loud music.;1548
der Nerv;nerve;B2;Ich glaube, ich habe einen empfindlichen Nerv getroffen.;I think I touched a nerve.;1549
entlassen;to release|to dismiss;B2;Er wurde aus dem Gefängnis entlassen.;He was released from prison.;1550
zweimal;twice;B2;Ich putze mir zweimal am Tag die Zähne.;I brush my teeth twice a day.;1551
abholen;to collect|to pick up|to engage with|to relate to|to resonate|to connect well;B2;Mama holt mich immer von der Schule ab.;Mom always picks me up from school.;1552
